Year,DoY,ACN 3,ACN 10,ACN 20,AHN 3,AHN 10,AHN 20,ECN 3,ECN 10,ECN 20
2008,353,687.163086,739.9084646,731.5591679,547.590456,885.194126,408.953569,517.2495654,590.7429424,831.4959431
2008,354,683.0323758,762.1042547,760.865139,550.6160135,898.7525624,426.439995,504.270771,582.419422,844.3355139
2008,355,653.6930305,756.1251283,732.4240959,523.5007051,892.2068959,418.3273052,468.4864381,529.7997674,781.7239269
2008,356,653.5180808,721.9054948,694.5930834,513.3615123,854.6591361,365.3288467,490.7783554,534.1745172,743.4030234
2008,357,677.5760719,720.0725272,703.7329038,522.4108975,846.4475293,360.4047755,509.3260355,572.1562371,772.8760832
2008,358,660.091633,722.9662593,721.6792083,517.1927384,852.2112844,359.3914664,478.6415714,547.4495795,779.444014
2008,359,650.6153328,714.4852483,710.709999,511.5852002,847.5693678,318.50708,477.3234247,529.1527002,745.6685687
2008,360,647.2259254,709.8474566,714.1679102,522.1756365,842.0948591,311.8582539,490.6554563,549.6141333,751.4834713
2008,361,670.6814428,749.1738851,754.721292,529.8182847,877.9787877,352.5206067,478.0308016,551.4696792,791.7002144
2008,362,658.5747184,740.7664562,717.3819736,509.8336421,860.440666,332.3146301,460.0005972,498.749741,713.8866384
2008,363,682.6632206,779.2975327,754.0040135,528.8136242,887.014049,338.1736884,471.362927,506.3121671,705.0190191
2008,364,664.082268,779.5404393,786.0103341,540.4903539,903.5228908,394.7071479,488.366211,551.2005004,765.4847931
2008,365,669.6973169,833.0690101,818.7620364,559.1506569,972.1719515,455.862395,482.1874016,553.365896,785.3687149
2009,1,566.4885252,816.3835107,848.568357,554.2447285,909.2435942,451.6524596,512.6567831,496.1216595,755.1165105
2009,2,560.3762096,781.1808148,843.9816919,550.4557456,905.9121739,489.6108533,522.2870681,522.6898539,755.1613651
2009,3,620.6790845,784.0542845,827.4048611,522.3124807,856.1294721,457.9384074,537.1770037,554.8903514,761.4526503
2009,4,562.5008406,705.9144211,770.0088194,509.0665918,783.280784,346.4387504,533.6281697,524.3708413,736.5381606
2009,5,563.7899176,675.2404408,726.8075682,495.7780501,747.8181814,295.9953672,526.7185046,491.8486726,682.5407396
2009,6,578.5072637,730.9740049,757.5383738,500.2743688,784.0014244,318.0389789,504.942083,468.9700889,671.0098219
2009,7,553.6240376,769.9960871,784.3407225,511.0490393,831.9295401,361.5828173,495.1231291,449.3811471,667.4515841
2009,8,543.4756532,745.5384409,801.79274,518.3005326,864.1472449,428.954623,504.5520828,481.0620642,688.4123748
2009,9,598.6248915,760.694803,800.1415882,515.5969918,857.3452984,438.5832397,521.353876,514.3035244,701.0200381
2009,10,584.3132448,725.0660531,774.4861879,498.5786296,794.5666815,368.5362554,520.9659937,508.3682524,697.0723813
2009,11,576.8969666,704.640319,761.2291162,501.3854459,790.3951161,355.0142467,513.475025,491.5630267,683.7402973
2009,12,604.4340136,724.6507351,768.8982882,508.5300756,814.7137556,364.2700782,515.1487136,491.1511865,679.7596802
2009,13,599.0073638,713.7150115,752.6504479,506.3653278,799.1576671,336.3793628,510.7603015,481.2804502,662.5148248
2009,14,592.8293939,698.5969092,756.0727124,506.7176806,800.9516195,352.6498232,515.0900844,502.6784419,664.960459
2009,15,587.4404715,702.7790355,754.1425294,518.9582024,801.497791,358.6975761,518.3398488,497.9139225,674.1769055
2009,16,577.7498505,734.4884216,768.3245527,529.9284752,820.7296169,374.4092097,507.5803636,481.8904934,676.9778267
2009,17,609.5352361,782.27787,790.979977,534.4817394,855.1529424,407.0166934,506.3174245,484.6803335,679.4556361
2009,18,599.2220431,796.3009256,809.7147368,540.7799184,878.8465619,421.4616259,504.3668108,482.9178613,675.8455999
2009,19,595.9079335,818.6406766,844.2454433,550.3073224,916.8063903,453.6049706,499.9945312,481.7929139,672.2645886
2009,20,594.8716314,803.358972,849.6741777,535.8610701,887.4946552,458.3334601,502.5749814,486.3334708,677.6840809
2009,21,578.9852455,800.6148268,867.6059161,535.2342175,879.3151057,464.623378,503.3426511,489.1669915,692.7276774
2009,22,579.3945804,814.9908091,895.4755221,544.2321383,892.1160153,482.6724604,510.1137962,503.2763755,724.6215325
2009,23,647.2063057,792.9642566,862.0372634,520.2216614,852.9317459,460.7658642,525.1978334,532.8498564,766.435238
2009,24,643.693803,746.1162608,787.6771959,508.1145896,778.2934695,348.7453744,546.2671253,530.5714116,727.0542845
2009,25,663.8868229,737.4559838,777.9864345,521.1197884,776.6764531,320.1585872,558.8498959,543.931299,732.0094256
2009,26,692.9903849,745.0297894,780.1135773,552.0451443,786.8363318,314.2290458,572.7032428,565.9210475,748.3613202
2009,27,674.8655578,752.9005596,787.0274036,546.7911483,777.2891178,301.3613569,553.3061727,545.0807069,746.8716259
2009,28,638.0937037,770.0996864,813.8928198,504.4423295,769.2609461,275.6420915,518.4597841,502.590993,719.1426887
2009,29,623.6852035,740.1727472,801.0357843,488.6487986,752.0454476,256.2445909,526.1177869,506.3110016,718.3388287
2009,30,641.3584994,735.8843136,800.7442722,506.2987444,762.6219561,256.3098595,525.8964964,497.326234,712.9213847
2009,31,687.9299174,777.4621954,823.9336842,588.7234574,888.5031444,320.2150034,506.589455,472.6281647,700.8083403
2009,32,656.303447,815.4994528,851.0133995,575.4504037,910.2971529,350.0436769,527.834969,498.2092406,701.5972691
